"id","ident","type","name","latitude_deg","longitude_deg","elevation_ft","continent","iso_country","iso_region","municipality","scheduled_service","gps_code","iata_code","local_code","home_link","wikipedia_link","keywords"
3377,"KAMA","large_airport","Rick Husband Amarillo International Airport",35.2193984985352,-101.706001281738,3607,"NA","US","US-TX","Amarillo","yes","KAMA","AMA","AMA",,"http://en.wikipedia.org/wiki/Rick_Husband_Amarillo_International_Airport",
3378,"KANB","medium_airport","Anniston Metropolitan Airport",33.58819962,-85.85810089,612,"NA","US","US-AL","Anniston","no","KANB","ANB","ANB",,"http://en.wikipedia.org/wiki/Anniston_Metropolitan_Airport",
3379,"KAND","medium_airport","Anderson Regional Airport",34.4945983887,-82.7093963623,782,"NA","US","US-SC","Anderson","no","KAND","AND","AND",,"http://en.wikipedia.org/wiki/Anderson_Regional_Airport",
3380,"KAOO","medium_airport","Altoona Blair County Airport",40.29639816,-78.31999969,1503,"NA","US","US-PA","Altoona","yes","KAOO","AOO","AOO",,"http://en.wikipedia.org/wiki/Altoona-Blair_County_Airport",
19291,"KAPA","medium_airport","Centennial Airport",39.57009888,-104.848999,5885,"NA","US","US-CO","Denver","no","KAPA","APA","APA",,"http://en.wikipedia.org/wiki/Centennial_Airport","Arapahoe County Airport"
19293,"KAPF","medium_airport","Naples Municipal Airport",26.1525993347,-81.7752990723,8,"NA","US","US-FL","Naples","no","KAPF","APF","APF",,"http://en.wikipedia.org/wiki/Naples_Municipal_Airport",
3381,"KAPG","medium_airport","Phillips Army Air Field",39.46620178,-76.16880035,57,"NA","US","US-MD","Aberdeen Proving Grounds(Aberdeen)","no","KAPG","APG","APG",,,
3382,"KAPN","medium_airport","Alpena County Regional Airport",45.0780983,-83.56030273,690,"NA","US","US-MI","Alpena","yes","KAPN","APN","APN",,"http://en.wikipedia.org/wiki/Alpena_County_Regional_Airport",
19301,"KARA","medium_airport","Acadiana Regional Airport",30.0377998352,-91.8839035034,24,"NA","US","US-LA","New Iberia","no","KARA","ARA","ARA",,,
3383,"KART","medium_airport","Watertown International Airport",43.9919013977051,-76.0216979980469,325,"NA","US","US-NY","Watertown","yes","KART","ART","ART",,"http://en.wikipedia.org/wiki/Watertown_International_Airport",
19308,"KASE","medium_airport","Aspen-Pitkin Co/Sardy Field",39.22320175,-106.8690033,7820,"NA","US","US-CO","Aspen","yes","KASE","ASE","ASE",,"http://en.wikipedia.org/wiki/Aspen%E2%80%93Pitkin_County_Airport",
19314,"KAST","medium_airport","Astoria Regional Airport",46.158000946,-123.878997803,15,"NA","US","US-OR","Astoria","no","KAST","AST","AST",,"http://en.wikipedia.org/wiki/Astoria_Regional_Airport",
